date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,57,64,61,0,5,5,0
20200426,67,63,66,67,1,4,2
20200427,82,73,72,81,7,5,4
20200428,82,100,75,86,14,2,2
20200429,103,95,85,82,7,9,4
20200430,107,124,109,90,14,9,3
20200501,111,124,108,97,11,8,3
20200502,111,122,131,99,2,8,2
20200503,115,133,137,109,16,10,6
20200504,115,122,146,141,3,20,9
20200505,115,129,137,135,6,9,5
20200506,125,127,142,167,7,12,6
20200507,127,137,138,171,16,7,7
20200508,132,147,143,176,16,13,10
20200509,132,150,153,174,15,19,10
20200510,156,154,153,166,26,5,5
20200511,157,169,157,169,1,13,7
20200512,160,174,157,170,17,5,8
20200513,172,179,184,177,14,5,14
20200514,173,194,186,185,14,13,9
20200515,197,195,187,186,16,4,8
20200516,203,219,198,191,17,10,8
20200517,217,224,208,221,10,13,8
20200518,223,240,244,226,11,25,8
20200519,223,257,241,233,26,13,8
20200520,231,253,263,242,19,21,16
20200521,231,262,271,252,24,20,12
20200522,290,245,265,289,3,14,16
20200523,308,313,284,297,1,21,5
20200524,350,332,267,315,6,4,11
20200525,370,379,342,322,6,13,11
20200526,377,405,378,317,12,37,8
20200527,426,406,407,339,4,10,19
20200528,448,474,438,331,22,24,22
20200529,469,479,436,414,2,15,24
20200530,511,508,487,461,10,14,49
20200531,563,567,518,484,29,19,7
20200601,610,645,557,521,59,37,20
20200602,659,653,583,534,5,12,36
20200603,712,709,679,638,8,49,64
20200604,752,765,703,657,2,9,61
20200605,793,846,781,643,54,48,5
20200606,881,870,815,708,10,11,22
20200607,1000,953,861,815,17,25,94
20200608,1099,1089,932,876,4,28,46
20200609,1256,1186,1016,992,19,23,128
20200610,1411,1244,1223,1052,63,110,107
20200611,1489,1504,1300,1051,32,44,7
20200612,1599,1615,1322,1154,17,128,80
20200613,1617,1743,1815,1300,43,278,157
20200614,1711,1726,1810,1524,2,117,159
20200615,1745,1839,2020,1680,1,300,184
20200616,1763,1853,1920,1674,16,88,161
20200617,1839,1914,2101,2186,30,162,307
20200618,1895,1961,2015,2303,4,19,310
20200619,1920,2089,2141,2246,63,227,22
20200620,1965,2079,2116,2534,48,16,359
20200621,1965,2102,2196,2617,8,90,334
20200622,2073,2117,2218,2459,14,14,25
20200623,2137,2225,2319,2491,13,79,38
20200624,2185,2238,2301,2837,13,104,331
20200625,2207,2360,2406,2986,24,8,331
20200626,2262,2326,2652,2920,48,278,271
20200627,2290,2415,2633,3058,46,230,369
20200628,2339,2489,2586,3045,40,95,387
20200629,2364,2460,2593,2913,52,98,54
20200630,2426,2500,2698,3072,58,39,52
20200701,2490,2661,2745,3288,65,37,275
20200702,2521,2675,2941,3433,38,322,390
20200703,2584,2733,2781,3171,44,42,81
20200704,2695,2776,3146,3328,17,406,123
20200705,2739,2885,2967,3452,14,50,238
20200706,2781,2933,3028,3512,5,148,267
20200707,2847,2934,3169,3602,75,72,246
20200708,2996,3003,3154,3692,85,14,248
20200709,3096,3227,3307,3840,38,150,355
20200710,3246,3254,3254,3858,75,31,317
20200711,3419,3425,3436,3997,102,77,317
20200712,3613,3671,3820,3892,188,349,75
20200713,3756,3881,3764,3850,222,37,50
20200714,3898,3952,3968,4026,99,58,108
20200715,4091,4096,4215,4107,111,87,110
20200716,4320,4343,4659,4221,118,468,104
20200717,4624,4542,4507,4514,90,1,20
20200718,4921,4904,4971,4865,150,380,91
20200719,5342,5266,4957,4993,48,25,160
20200720,5535,5663,5343,5337,153,55,141
20200721,5756,5804,5674,5311,147,131,132
20200722,6159,6071,6608,5671,138,754,35
20200723,6485,6534,6474,6111,93,244,78
20200724,6975,6839,6616,6297,178,21,177
20200725,7493,7342,7012,6687,218,126,250
20200726,7836,7956,7468,7284,157,103,204
20200727,8275,8271,7998,7602,194,9,85
20200728,8683,8804,8506,8076,175,85,164
20200729,9078,9131,9051,8494,159,228,78
20200730,9861,9611,9488,8998,167,32,37
20200731,10167,10391,9932,9919,184,2,264
20200801,10958,10944,10398,10411,177,201,77
20200802,11686,11496,11399,10960,317,275,203
20200803,12523,12279,11583,11483,293,306,71
20200804,13478,13116,12556,11914,382,112,205
20200805,13940,14228,13297,12176,290,15,288
20200806,14888,15150,15469,14164,74,1771,747
20200807,15756,15595,15432,14132,325,215,289
20200808,16465,16580,16073,14853,486,837,408
20200809,17094,17290,17016,16052,466,99,25
20200810,18138,18081,17865,17097,326,15,49
20200811,18723,19062,18903,18442,472,157,157
20200812,19225,19647,19403,19432,522,10,474
20200813,19743,20195,20657,21100,445,85,948
20200814,20881,20830,21302,21374,736,68,226
20200815,21595,21820,24703,23299,462,4105,1188
20200816,22389,23211,22395,25380,207,131,2747
20200817,23055,23479,23964,25557,486,376,1299
20200818,23752,24497,24733,25761,1010,1073,185
20200819,24477,24926,25633,26841,584,442,1082
20200820,26090,25729,26246,27857,640,171,1560
20200821,26753,27237,27404,28879,638,691,476
20200822,28196,27944,27906,29717,491,408,307
20200823,28571,29734,29943,29716,454,748,1076
20200824,29677,30008,30210,30989,1030,55,471
20200825,31005,31537,34710,32443,568,4223,196
20200826,31973,33019,32309,32327,738,25,1285
20200827,33046,33876,33319,35464,544,370,144
20200828,34396,34689,34933,36664,763,179,708
20200829,35321,36044,36203,37943,1003,554,351
20200830,36857,37328,37334,37967,802,34,1083
20200831,38435,38755,38752,39973,435,205,204
20200901,41656,40304,39680,40703,875,273,1369
20200902,43833,43803,41889,42739,1063,128,860
20200903,44862,46362,43300,43166,346,353,1439
20200904,46480,46896,46847,45590,1090,365,1005
20200905,48039,48902,49079,48071,1921,606,1121
20200906,49797,50344,50491,50630,1337,577,1787
20200907,51063,52372,52963,52666,1749,676,1619
20200908,52620,54121,57533,59106,314,4799,5319
20200909,55296,55513,58107,59236,739,3482,603
20200910,56897,58400,57035,59184,2361,1039,1419
20200911,58079,59260,59695,60849,1598,1649,445
20200912,59040,60942,61808,62722,2086,147,2540
20200913,60460,61732,64508,65684,2021,1241,1628
20200914,61474,63222,65049,70852,2075,244,4483
20200915,62737,64685,66441,67324,1521,549,4022
20200916,64439,65664,67617,71829,1757,497,2511
20200917,66074,67795,69069,72957,1131,794,3803
20200918,67100,69879,70101,75205,326,362,2986
20200919,68578,70380,71772,83351,2372,265,7233
20200920,69860,72032,72939,83050,2455,1013,5277
20200921,71352,73900,76372,79791,899,1732,2093
20200922,72673,76785,76674,81870,1280,57,1485
20200923,73948,76549,77228,81818,2523,904,5225
20200924,75089,77543,78611,89520,1852,284,2894
20200925,76438,78962,81319,87779,1309,804,1024
