date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,571,617,567,0,44,38,0
20200426,611,624,602,600,7,28,11
20200427,649,666,690,647,39,51,24
20200428,697,783,742,722,108,14,12
20200429,725,804,775,764,58,51,31
20200430,758,870,851,826,94,68,26
20200501,795,870,912,936,77,67,24
20200502,795,867,920,980,14,57,22
20200503,922,944,963,1009,111,67,36
20200504,963,968,1043,1105,17,141,72
20200505,1259,1070,978,1143,51,58,43
20200506,1344,1375,1128,1168,69,94,42
20200507,1456,1481,1146,1206,162,57,46
20200508,1548,1683,1560,1254,179,140,65
20200509,1678,1718,1655,1238,186,202,65
20200510,1786,1944,1744,1325,326,52,36
20200511,1939,1923,1804,1406,11,146,57
20200512,2063,1980,1990,1855,191,61,83
20200513,2173,2295,2095,1911,170,51,137
20200514,2290,2451,2125,2118,167,145,101
20200515,2377,2453,2399,2135,202,46,100
20200516,2461,2634,2504,2413,200,99,101
20200517,2576,2704,2620,2525,113,155,75
20200518,2677,2835,2937,2575,128,288,91
20200519,2825,3071,2909,2999,305,145,102
20200520,2961,3197,3111,3057,237,244,172
20200521,3103,3342,3243,3172,302,235,140
20200522,3197,3287,3349,3475,44,167,187
20200523,3332,3441,3634,3594,13,261,60
20200524,3459,3589,3569,3727,63,50,132
20200525,3667,3741,3758,3855,63,135,125
20200526,3816,4012,4078,3999,111,389,91
20200527,4009,4103,4017,4334,36,101,238
20200528,4192,4453,4329,4443,206,232,283
20200529,4536,4479,4405,4556,13,143,259
20200530,4813,4904,4574,4979,88,129,524
20200531,5130,5333,4844,4777,266,175,63
20200601,5501,5868,5379,5154,536,355,191
20200602,5772,5885,5488,5401,41,103,364
20200603,6168,6205,6184,6000,68,441,594
20200604,6508,6627,6335,6142,13,73,563
20200605,6876,7318,6830,6212,469,416,44
20200606,7303,7537,7053,6667,80,90,203
20200607,7738,7891,7440,7423,138,215,855
20200608,8187,8421,8075,7896,31,239,413
20200609,8613,8835,8417,8681,138,189,1126
20200610,8985,9260,9459,9109,468,851,918
20200611,9328,9577,9680,9090,198,322,56
20200612,9768,10111,9844,9996,99,949,695
20200613,10244,10644,11552,10773,260,1773,1307
20200614,10698,10932,11335,11791,10,732,1224
20200615,11087,11491,12336,12512,6,1828,1368
20200616,11494,11771,12161,12462,96,559,1194
20200617,11909,12478,13133,13914,194,1014,1953
20200618,12300,12694,12800,14424,23,116,1940
20200619,12735,13553,13957,13720,411,1476,131
20200620,13090,13784,13702,16047,312,102,2275
20200621,13531,13996,14250,16359,54,576,2089
20200622,13945,14334,14704,15623,426,92,153
20200623,14358,14965,15443,16236,86,524,243
20200624,14728,15033,15571,18371,88,343,2142
20200625,15173,15899,16183,19377,157,49,2149
20200626,15648,15986,17815,19362,329,1860,1797
20200627,16190,16594,17741,20364,317,1548,2456
20200628,16711,17594,17776,20594,282,654,2130
20200629,17283,17571,17823,19589,370,674,355
20200630,17907,18272,19072,20634,425,276,346
20200701,18559,19637,19606,22162,476,256,1850
20200702,19170,19934,21500,23596,280,2350,2683
20200703,19819,20778,20525,21797,328,303,558
20200704,20488,21287,23446,23522,128,3024,863
20200705,21231,21923,22559,24659,102,377,1695
20200706,22126,22731,23218,25669,33,1131,1952
20200707,22987,23341,24083,26583,593,544,1813
20200708,23837,24245,24442,27513,684,105,1847
20200709,24823,25664,26308,29197,299,1198,2704
20200710,25911,26087,26262,29583,603,247,2425
20200711,27109,27332,27335,30378,808,608,2406
20200712,28453,29099,30618,30163,1483,2794,581
20200713,30013,30556,30043,30631,1741,297,395
20200714,31448,31570,31457,32503,785,452,872
20200715,32838,33041,33185,32669,887,686,877
20200716,34427,34855,37221,33842,943,3738,830
20200717,36117,36195,36355,36027,713,7,154
20200718,38011,38298,39894,38569,1167,3052,716
20200719,40209,40667,39502,39317,367,191,1257
20200720,42487,42621,41728,42639,1147,425,1126
20200721,44769,44545,43820,42845,1126,1010,1058
20200722,47030,47213,49731,45512,1070,5668,276
20200723,49321,49887,49691,48691,707,1870,617
20200724,51757,52007,51454,49179,1348,160,1375
20200725,53973,54478,53538,51645,1620,957,1929
20200726,56377,57304,56791,54824,1131,779,1536
20200727,58718,59499,59345,58344,1389,61,646
20200728,60830,62466,61267,62807,1242,615,1268
20200729,62964,63966,65118,64853,1113,1638,585
20200730,65258,66653,67319,68430,1152,225,282
20200731,67692,68764,69578,73596,1216,12,1952
20200801,70188,72859,72112,74987,1173,1388,547
20200802,72777,73629,75434,78847,2026,1818,1457
20200803,75516,76468,77116,81477,1828,2034,496
20200804,78232,79085,80418,83459,2299,710,1434
20200805,80984,82584,82808,84450,1686,86,1990
20200806,83800,88011,93277,93731,427,10676,4939
20200807,86754,87775,89571,94090,1828,1249,1924
20200808,89666,91291,93368,95135,2672,4860,2606
20200809,92615,94157,95773,99962,2537,553,153
20200810,95554,97959,98362,103094,1766,82,292
20200811,98459,100416,102940,107043,2482,856,911
20200812,101390,103317,105121,112889,2743,54,2754
20200813,104326,106501,108820,118764,2346,442,5333
20200814,107323,110066,112015,117684,3885,353,1244
20200815,110358,112144,130277,126882,2373,21645,6468
20200816,113432,118615,118339,137505,1058,688,14882
20200817,116498,118950,123163,134634,2459,1932,6842
20200818,119578,123783,126390,135463,5106,5485,972
20200819,122753,125484,129866,141552,2941,2238,5700
20200820,125922,129029,132617,147198,3209,862,8243
20200821,129119,131457,137962,148427,3076,3477,2444
20200822,132364,134864,139948,151858,2368,2045,1565
20200823,135596,139584,144513,150550,2132,3609,5449
20200824,138870,142414,145798,156585,4888,264,2378
20200825,141837,147572,162940,163328,2655,19819,990
20200826,144801,151046,153335,162117,3376,114,6444
20200827,147775,153417,155909,171161,2465,1728,696
20200828,150772,155121,159805,176950,3408,819,3417
20200829,153754,157995,163953,178115,4395,2509,1644
20200830,156766,162490,166948,180184,3492,155,5137
20200831,159785,164834,169863,187048,1849,896,956
20200901,162778,167551,172728,186198,3636,1189,6259
20200902,165721,171165,178167,193554,4151,541,3891
20200903,168697,175279,180007,193025,1308,1465,6435
20200904,171681,176343,183059,199838,4097,1425,4401
20200905,174659,180625,185552,209252,7093,2289,4875
20200906,177701,183038,189862,215347,4860,2168,7598
20200907,180788,186888,195626,218944,6240,2498,6731
20200908,183865,191614,209177,230963,1114,17447,20781
20200909,186956,193971,207354,223955,2580,12423,2280
20200910,190063,197449,201929,222551,7980,3676,5333
20200911,193175,197955,208583,224751,5336,5758,1644
20200912,196332,202698,208970,228042,6938,494,9233
20200913,199493,205283,215486,234392,6719,4144,5810
20200914,202708,208607,216356,250848,6846,810,15869
20200915,205919,213296,220942,235241,5014,1826,14054
20200916,209146,215524,223107,242852,5766,1637,8487
20200917,212383,220036,227751,243708,3669,2618,12702
20200918,215580,224611,230089,250136,1046,1186,9930
20200919,218772,226118,232945,277175,7621,859,24049
20200920,221960,229788,234448,274030,7831,3254,17412
20200921,225137,234792,245366,263105,2856,5564,6900
20200922,228302,242280,244598,268718,4039,182,4875
20200923,231484,240478,245369,265550,7928,2872,16956
20200924,234673,242736,248039,287746,5799,896,9301
20200925,237869,246775,255462,282016,4092,2526,3287
20200926,241059,249082,259439,293061,8498,2205,9732
20200927,244240,254197,261828,312119,6493,2495,26317
20200928,247425,257925,264253,290391,5806,1191,8293
20200929,250580,260032,270205,295563,4873,3648,5416
20200930,253768,263047,275389,303221,9442,6577,323
20201001,257049,265611,276391,322188,5249,2760,20648
20201002,260324,268696,279580,311992,7140,1375,5262
20201003,263634,271905,282126,306354,7339,2480,15689
20201004,266974,275044,285407,313247,7535,426,10523
20201005,270331,281985,322149,313638,4169,44639,15830
20201006,273679,286970,295262,343862,5003,4445,20729
20201007,277049,287741,300636,327111,5292,10085,9455
