date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,1,2,2,0,0,0,0
20200426,1,2,2,2,0,0,0
20200427,1,2,2,3,0,0,1
20200428,1,2,2,2,0,0,0
20200429,1,2,2,2,0,0,0
20200430,1,2,2,2,0,0,0
20200501,1,2,2,2,0,0,0
20200502,1,2,2,2,0,0,0
20200503,1,2,2,2,0,0,0
20200504,1,2,2,3,0,0,1
20200505,1,2,2,2,0,0,0
20200506,1,2,2,2,0,0,0
20200507,1,2,2,2,0,0,0
20200508,1,2,2,2,0,0,0
20200509,1,2,2,2,0,0,0
20200510,1,2,2,2,0,0,0
20200511,1,2,2,2,0,0,0
20200512,1,2,2,2,0,0,0
20200513,1,2,2,2,0,0,0
20200514,1,2,2,2,0,0,0
20200515,1,2,2,2,0,0,0
20200516,1,2,2,2,0,0,0
20200517,1,2,2,2,0,0,0
20200518,1,2,2,2,0,0,0
20200519,1,2,2,2,0,0,0
20200520,1,2,2,2,0,0,0
20200521,1,2,2,2,0,0,0
20200522,1,2,2,2,0,0,0
20200523,1,2,2,2,0,0,0
20200524,1,2,2,2,0,0,0
20200525,1,2,2,2,0,0,0
20200526,2,2,2,2,0,0,0
20200527,2,3,2,2,0,0,0
20200528,2,3,2,2,0,0,0
20200529,3,3,3,2,0,0,0
20200530,3,4,3,2,0,0,0
20200531,4,4,3,2,0,0,0
20200601,4,5,4,2,0,0,0
20200602,22,5,4,3,0,0,0
20200603,22,24,6,4,0,1,1
20200604,38,24,5,4,0,0,1
20200605,42,43,27,5,3,3,0
20200606,45,47,26,5,1,1,0
20200607,47,50,44,7,1,2,1
20200608,51,52,50,6,0,2,0
20200609,51,56,53,34,1,1,5
20200610,57,58,58,33,3,6,3
20200611,57,61,61,54,2,3,1
20200612,61,63,62,62,1,6,5
20200613,67,67,74,67,2,12,9
20200614,87,72,70,72,0,5,8
20200615,91,94,78,78,0,13,9
20200616,91,98,80,78,1,5,8
20200617,95,99,107,89,2,9,13
20200618,99,102,106,89,0,1,13
20200619,103,110,111,87,4,12,1
20200620,103,112,110,106,3,1,15
20200621,135,111,115,134,1,5,17
20200622,135,129,120,129,26,1,2
20200623,139,146,122,129,1,5,2
20200624,148,146,139,147,2,20,17
20200625,158,160,157,157,2,0,18
20200626,160,167,173,157,3,19,15
20200627,172,174,179,161,4,16,20
20200628,177,188,186,183,4,7,13
20200629,182,187,186,191,4,8,4
20200630,187,193,203,201,5,3,4
20200701,191,206,208,223,5,3,19
20200702,195,206,227,246,3,25,29
20200703,195,212,215,228,4,3,7
20200704,252,210,242,251,2,32,10
20200705,259,270,230,262,2,5,18
20200706,269,278,229,271,0,12,21
20200707,270,284,297,278,8,7,19
20200708,276,286,299,284,8,2,20
20200709,287,298,321,298,4,15,28
20200710,302,302,309,292,8,3,24
20200711,335,319,317,374,10,8,30
20200712,341,360,355,368,19,32,8
20200713,359,367,351,373,21,4,5
20200714,387,378,389,383,10,6,11
20200715,462,407,398,379,12,9,10
20200716,462,491,446,392,14,45,10
20200717,543,486,448,421,10,0,3
