date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,27,27,23,0,2,2,0
20200426,33,30,25,28,0,2,1
20200427,33,36,30,30,4,3,2
20200428,33,41,36,31,6,1,1
20200429,33,39,42,30,3,5,2
20200430,33,40,44,34,5,4,1
20200501,33,39,44,41,4,4,1
20200502,33,37,43,47,1,3,1
20200503,33,40,43,54,5,4,4
20200504,33,35,44,57,1,6,4
20200505,33,38,41,55,2,3,3
20200506,33,37,41,54,2,4,2
20200507,33,39,40,54,4,2,2
20200508,33,39,42,53,5,4,3
20200509,33,39,43,52,4,6,3
20200510,33,39,40,48,7,2,2
20200511,33,36,41,49,0,3,2
20200512,33,37,40,49,4,2,3
20200513,33,37,40,50,3,1,3
20200514,33,39,40,49,3,3,3
20200515,33,38,39,49,3,1,2
20200516,33,38,39,48,3,1,3
20200517,33,37,41,47,2,3,2
20200518,33,37,42,48,2,5,2
20200519,33,39,40,49,4,3,2
20200520,33,38,41,48,3,4,2
20200521,33,38,41,49,4,3,3
20200522,33,36,40,49,1,3,3
20200523,33,36,41,49,0,3,1
20200524,33,36,39,49,0,1,2
20200525,33,37,39,48,1,2,2
20200526,33,37,41,48,1,5,2
20200527,33,36,39,49,0,1,3
20200528,33,37,40,48,2,3,3
20200529,33,36,39,48,0,1,3
20200530,33,37,38,50,1,2,5
20200531,33,37,39,46,2,2,0
20200601,33,39,40,47,4,3,2
20200602,33,36,39,47,0,1,3
20200603,33,36,40,50,0,3,5
20200604,33,36,39,49,0,1,5
20200605,33,38,40,46,3,3,1
20200606,33,37,39,46,1,1,2
20200607,33,37,38,48,1,2,6
20200608,33,36,39,48,0,2,3
20200609,33,36,39,51,0,1,7
20200610,33,38,41,50,3,4,5
20200611,34,36,40,47,1,1,1
20200612,38,38,40,49,1,5,4
20200613,38,42,43,49,2,8,6
20200614,38,41,42,51,0,3,5
20200615,38,41,49,51,0,8,6
20200616,41,41,46,51,0,3,5
20200617,44,45,48,52,0,4,8
20200618,44,47,45,53,0,1,8
20200619,44,49,51,54,2,5,0
20200620,45,48,51,60,2,0,9
20200621,47,49,52,59,1,3,8
20200622,48,50,52,54,2,1,0
20200623,48,52,54,59,0,3,1
20200624,50,51,55,69,0,1,8
20200625,56,55,56,70,1,0,8
20200626,59,60,60,68,1,6,7
20200627,72,62,61,71,2,5,8
20200628,72,79,66,72,2,3,7
20200629,76,76,67,68,2,3,2
20200630,90,81,85,70,2,2,1
20200701,97,100,85,76,3,2,7
20200702,100,105,95,88,2,10,10
20200703,109,109,104,81,2,2,3
20200704,116,118,123,105,1,16,5
20200705,119,125,119,107,1,3,8
20200706,125,128,129,113,0,7,9
20200707,141,133,137,135,4,3,10
20200708,147,149,138,144,5,1,10
20200709,149,159,149,153,3,8,15
20200710,151,158,162,164,4,2,14
20200711,156,160,169,173,5,5,14
20200712,163,168,184,170,9,17,4
20200713,163,176,176,174,11,3,3
20200714,166,172,182,200,5,3,6
20200715,166,175,191,202,5,4,6
20200716,176,177,203,204,5,21,5
20200717,180,186,192,211,4,0,1
20200718,194,191,202,223,6,16,4
20200719,198,208,203,226,2,1,8
20200720,203,210,209,232,6,3,6
20200721,207,214,225,227,5,5,6
20200722,212,219,246,231,5,28,2
20200723,221,226,238,250,4,9,4
20200724,240,234,239,246,7,1,7
20200725,259,253,242,264,8,5,10
20200726,290,276,255,271,6,3,8
20200727,324,307,276,279,8,1,3
20200728,338,345,295,291,8,4,6
20200729,363,356,336,293,6,8,3
20200730,428,385,372,307,7,2,2
20200731,471,452,387,342,8,0,10
20200801,548,508,417,361,8,8,3
20200802,636,576,496,406,17,13,8
20200803,734,669,537,450,17,15,3
20200804,830,769,628,465,23,6,8
20200805,928,877,725,487,18,1,12
20200806,1027,1009,907,615,5,104,33
20200807,1123,1076,951,656,23,14,14
20200808,1222,1183,1071,744,35,56,21
20200809,1351,1284,1174,874,35,8,2
20200810,1490,1430,1274,1003,27,1,3
20200811,1625,1567,1404,1136,39,13,10
20200812,1764,1706,1534,1294,46,1,32
20200813,1900,1854,1697,1456,41,8,66
20200814,2037,2005,1849,1524,71,6,17
20200815,2186,2129,2267,1730,46,377,89
20200816,2306,2350,2156,2007,22,13,218
20200817,2399,2419,2338,2100,51,37,107
20200818,2445,2550,2504,2237,106,109,17
20200819,2529,2567,2641,2463,61,46,99
20200820,2604,2659,2732,2681,67,18,150
20200821,2680,2719,2822,2818,64,72,46
20200822,2747,2800,2884,3009,49,43,31
20200823,2808,2898,2989,3061,45,75,111
20200824,2860,2950,3027,3225,102,6,50
20200825,2904,3040,3382,3340,55,412,20
20200826,2945,3093,3176,3341,70,3,133
20200827,2985,3121,3212,3540,51,37,15
20200828,3018,3134,3273,3673,70,17,71
20200829,3050,3163,3335,3697,88,51,34
20200830,3081,3224,3373,3732,70,3,107
20200831,3104,3240,3401,3853,37,18,20
20200901,3132,3255,3427,3813,71,25,128
20200902,3160,3294,3503,3937,80,11,80
20200903,3186,3343,3497,3900,25,29,130
20200904,3223,3331,3523,4001,78,28,89
20200905,3257,3392,3539,4152,134,44,97
20200906,3292,3414,3586,4233,91,42,150
20200907,3332,3463,3673,4254,116,47,131
20200908,3359,3533,3901,4445,21,326,400
20200909,3392,3544,3842,4271,47,231,44
20200910,3426,3583,3722,4204,145,68,102
20200911,3465,3569,3811,4220,97,105,32
20200912,3494,3636,3792,4253,125,9,173
20200913,3521,3654,3885,4343,120,75,108
20200914,3546,3683,3882,4624,121,15,293
20200915,3557,3732,3932,4299,88,33,257
20200916,3574,3724,3939,4407,100,29,155
20200917,3593,3761,3985,4394,63,46,229
20200918,3604,3801,3975,4487,18,20,179
20200919,3631,3781,3982,4934,128,15,428
20200920,3644,3814,3967,4837,131,56,307
20200921,3651,3855,4103,4603,47,93,121
20200922,3673,3930,4060,4643,66,3,85
20200923,3691,3870,4029,4538,128,48,290
20200924,3712,3871,4023,4869,92,15,158
20200925,3744,3904,4111,4715,66,41,56
20200926,3759,3921,4137,4865,135,36,162
20200927,3774,3965,4142,5125,102,40,433
20200928,3794,3986,4160,4710,90,19,135
20200929,3803,3988,4214,4756,75,57,87
20200930,3821,3993,4256,4836,144,102,5
20201001,3835,4000,4239,5097,80,43,327
20201002,3848,4010,4244,4912,107,21,83
20201003,3858,4020,4249,4778,109,38,245
20201004,3868,4025,4259,4841,111,7,163
20201005,3884,4086,4763,4810,61,660,243
20201006,3899,4124,4321,5220,72,66,315
20201007,3912,4100,4357,4926,75,147,143
20201008,3935,4133,4410,4964,59,218,37
20201009,3952,4109,4321,5123,119,59,151
20201010,3976,4149,4307,5065,132,29,42
20201011,3992,4205,4349,4836,24,16,298
20201012,4005,4185,4376,4799,107,10,332
20201013,4023,4330,4377,4787,22,44,334
20201014,4036,4245,4554,4976,49,237,133
20201015,4046,4235,4442,4880,163,111,282
20201016,4062,4264,4417,5054,99,20,75
20201017,4072,4281,4443,4974,74,3,196
20201018,4083,4268,4569,4989,128,188,252
20201019,4108,4242,4453,5087,106,58,95
20201020,4126,4310,4548,5455,107,58,426
20201021,4141,4316,4633,5007,104,175,334
20201022,4168,4351,4516,5495,103,9,443
20201023,4184,4352,4651,5223,63,213,46
20201024,4207,4392,4656,4983,141,176,295
20201025,4225,4397,4588,5175,106,86,109
20201026,4245,4375,4636,5100,95,75,264
20201027,4253,4538,4593,5025,89,15,317
20201028,4274,4370,4674,5655,41,53,457
20201029,4289,4405,4685,5049,51,171,405
20201030,4305,4467,4655,5121,97,17,266
20201031,4317,4430,4655,5213,33,39,175
20201101,4332,4405,4656,5274,4,42,97
20201102,4340,4439,4686,5458,15,39,71
20201103,4352,4428,4732,5404,8,3,27
20201104,4372,4559,4730,5398,96,25,8
20201105,4389,4588,4732,5399,63,12,15
20201106,4403,4632,4862,5424,115,276,10
20201107,4420,4626,4755,5421,106,43,10
20201108,4441,4624,4796,5449,67,43,57
20201109,4450,4638,4810,5437,112,58,45
20201110,4463,4648,4854,5332,110,117,207
20201111,4477,4638,4878,5315,97,64,217
20201112,4494,4748,4832,5313,259,43,236
20201113,4507,4609,4920,5472,22,142,162
20201114,4518,4675,4898,5367,82,46,238
20201115,4527,4701,4869,5650,101,13,451
20201116,4536,4650,4859,5447,71,30,187
20201117,4557,4679,4886,5439,35,35,242
20201118,4574,4727,4894,5474,38,4,45
20201119,4593,4775,4907,5590,54,13,15
20201120,4604,4825,4894,5538,84,4,74
20201121,4617,4721,4895,5518,45,15,101
20201122,4631,4741,4980,5347,1,16,234
20201123,4641,4769,4981,5610,31,7,31
20201124,4656,4956,4985,5635,56,28,5
20201125,4667,4806,4974,5652,57,28,44
20201126,4677,4774,4968,5665,49,39,22
20201127,4682,4879,5013,5647,79,24,56
20201128,4689,4812,5044,5669,39,39,10
20201129,4698,5041,5030,5698,178,6,20
20201130,4704,4813,5023,5653,21,8,24
20201201,4710,4786,5099,5714,5,96,10
20201202,4718,4796,5046,5727,28,31,19
20201203,4723,4839,5050,5719,17,4,6
20201204,4729,4834,5083,5718,25,8,15
20201205,4742,4986,5075,5707,114,26,24
20201206,4747,5021,5137,5709,81,63,20
20201207,4758,4846,5077,5750,13,15,20
20201208,4773,4836,5084,5696,8,9,2
20201209,4778,4891,5090,5702,1,8,29
20201210,4783,4863,5104,5940,13,2,304
20201211,4791,4898,5124,5693,27,17,15
20201212,4798,4877,5116,5721,8,4,13
20201213,4805,4988,5118,5758,50,13,7
20201214,4818,4905,5121,5759,34,1,1
20201215,4834,5010,5139,5815,79,19,0
20201216,4842,4932,5136,5785,16,17,31
20201217,4850,4936,5163,5747,17,26,68
20201218,4860,5074,5174,5782,12,6,25
20201219,4869,5020,5179,5762,121,40,14
20201220,4875,5077,5192,5788,190,3,17
20201221,4881,4960,5180,5812,10,5,24
20201222,4888,4993,5203,5815,38,13,42
20201223,4893,4975,5202,5807,19,31,23
20201224,4896,5051,5226,5836,120,9,10
20201225,4901,5104,5221,5841,109,12,35
20201226,4912,4985,5231,5831,18,42,12
20201227,4912,5039,5229,5825,8,4,10
20201228,4924,5058,5238,5813,91,15,13
20201229,4929,5111,5259,5836,140,38,29
20201230,4936,5028,5240,5855,40,16,15
20201231,4941,5161,5232,5853,170,13,29
20210101,4945,5042,5250,5837,15,6,5
20210102,4946,5055,5257,5881,22,35,95
20210103,4947,5037,5267,5829,19,13,44
20210104,4948,5086,5260,5819,11,37,55
20210105,4948,5035,5277,5842,13,61,29
20210106,4949,5129,5252,5862,160,29,44
20210107,4949,5063,5275,5822,68,11,10
20210108,4958,5081,5277,6285,22,12,534
20210109,4959,5056,5250,5871,28,2,10
20210110,4959,5163,5453,5865,92,271,17
20210111,4960,5093,5306,5863,58,60,18
20210112,4963,5043,5279,5837,20,17,3
20210113,4966,5043,5255,5852,15,14,15
20210114,4969,5061,5449,5862,11,251,10
20210115,4976,5082,5271,5841,4,9,35
20210116,4979,5070,5310,5834,10,22,51
20210117,4982,5064,5263,5849,30,37,15
20210118,4983,5082,5276,5836,34,1,13
20210119,4988,5067,5270,5830,19,5,38
20210120,4989,5074,5288,5780,16,15,23
20210121,4991,5089,5278,5849,6,8,7
20210122,4991,5075,5271,5842,34,22,17
20210123,4992,5189,5288,5851,33,11,15
20210124,4993,5091,5303,5822,58,7,5
20210125,4993,5192,5252,5846,109,5,5
20210126,4994,5080,5286,5813,13,14,2
20210127,4994,5187,5289,5816,100,15,1
20210128,4994,5271,5276,5873,39,10,17
20210129,4994,5193,5288,5804,1,44,18
20210130,4994,5166,5316,5859,90,44,1
20210131,4994,5055,5301,5833,0,43,5
20210201,4994,5066,5273,5869,6,8,55
20210202,4994,5108,5295,5816,14,73,3
20210203,4994,5063,5284,5788,3,45,39
20210204,4994,5080,5267,5819,34,8,53
20210205,4994,5178,5339,5792,112,89,8
20210206,4997,5125,5287,5813,83,23,23
20210207,5000,5192,5256,5820,78,2,8
20210208,5001,5154,5258,5827,15,15,58
20210209,5005,5077,5264,5780,19,32,10
20210210,5007,5092,5262,5781,12,27,10
20210211,5007,5228,5260,5781,95,8,25
20210212,5007,5155,5266,6063,45,13,275
20210213,5007,5156,5283,5794,130,16,7
20210214,5009,5213,5271,5793,0,2,54
