date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,7,9,10,0,1,1,0
20200426,7,8,10,14,0,1,0
20200427,7,9,10,14,1,1,1
20200428,8,9,10,14,2,1,1
20200429,8,10,10,14,1,1,1
20200430,8,11,10,14,2,1,1
20200501,8,10,11,13,1,1,0
20200502,8,9,11,13,0,1,1
20200503,8,10,11,13,2,1,1
20200504,8,9,11,13,0,2,1
20200505,8,10,11,14,1,1,1
20200506,9,10,11,14,1,1,1
20200507,9,11,11,13,2,1,1
20200508,9,11,11,13,2,1,1
20200509,9,11,12,14,2,2,1
20200510,9,11,12,12,2,1,0
20200511,9,10,12,13,0,1,1
20200512,12,11,12,13,2,1,1
20200513,13,14,11,13,2,0,2
20200514,13,15,12,14,2,1,1
20200515,13,16,15,14,2,1,1
20200516,13,15,16,14,2,1,1
20200517,13,15,17,13,1,2,0
20200518,13,15,17,14,1,2,1
20200519,18,16,16,18,2,1,1
20200520,18,21,17,19,2,2,2
20200521,18,21,17,20,2,2,1
20200522,20,20,22,20,1,2,2
20200523,26,22,23,20,0,2,1
20200524,26,29,21,20,1,0,1
20200525,41,29,24,20,1,2,1
20200526,41,45,32,26,2,3,1
20200527,46,45,31,27,1,1,2
20200528,46,52,49,26,3,3,2
20200529,51,50,48,29,0,2,2
20200530,51,56,53,39,1,2,5
20200531,51,57,54,37,3,3,1
20200601,70,59,61,59,6,5,3
20200602,74,76,59,59,1,1,4
20200603,82,80,62,70,2,5,7
20200604,82,89,81,68,1,2,6
20200605,82,93,88,71,6,6,1
20200606,99,91,94,72,1,2,3
20200607,99,108,94,74,3,3,9
20200608,99,108,97,101,0,3,6
20200609,127,107,115,112,2,3,15
20200610,127,112,122,122,6,11,13
20200611,127,136,118,116,3,4,1
20200612,157,138,120,120,2,13,9
20200613,157,172,164,147,5,25,18
20200614,176,168,155,151,0,10,16
20200615,194,190,199,152,1,30,17
20200616,202,207,187,151,3,9,15
20200617,216,220,217,198,4,17,28
20200618,245,231,225,197,1,3,27
20200619,271,271,246,221,8,27,2
20200620,286,294,249,247,7,2,35
20200621,286,306,284,270,2,12,35
20200622,366,309,314,274,3,3,3
20200623,383,394,338,286,3,12,5
20200624,402,402,335,334,3,16,39
20200625,461,434,425,387,5,2,44
20200626,502,486,476,413,10,50,39
20200627,502,505,485,445,10,43,54
20200628,619,546,541,444,9,20,56
20200629,619,652,542,515,14,20,10
20200630,619,655,592,551,16,9,10
20200701,714,680,727,606,17,10,51
20200702,714,768,771,718,11,85,82
20200703,802,775,710,663,13,10,17
20200704,802,862,903,730,6,117,27
20200705,802,859,841,914,4,15,63
20200706,802,859,940,920,2,46,71
20200707,802,847,943,920,22,22,63
20200708,930,846,924,1059,25,5,71
20200709,1008,1002,954,1088,12,44,101
20200710,1151,1060,917,1198,25,9,99
20200711,1272,1215,1067,1190,37,25,95
20200712,1337,1366,1244,1140,70,114,22
20200713,1418,1436,1335,1111,83,13,15
20200714,1468,1492,1476,1135,37,22,31
20200715,1531,1543,1560,1275,42,33,34
20200716,1596,1626,1759,1375,45,177,34
20200717,1743,1679,1698,1601,34,1,8
20200718,1832,1849,1861,1810,57,143,34
20200719,1894,1961,1832,1848,18,10,60
20200720,1999,2008,2015,2015,54,21,54
20200721,2092,2097,2113,2001,54,49,49
20200722,2179,2207,2343,2122,51,268,13
20200723,2300,2312,2339,2258,33,89,29
20200724,2420,2426,2405,2374,63,8,67
20200725,2515,2548,2481,2490,76,44,93
20200726,2654,2671,2649,2583,53,37,73
20200727,2786,2802,2775,2746,66,3,31
20200728,2872,2965,2856,2935,59,29,60
20200729,3011,3021,3066,3005,54,78,27
20200730,3177,3188,3195,3192,56,11,14
20200731,3298,3348,3286,3442,60,1,92
20200801,3472,3551,3449,3495,58,67,26
20200802,3606,3643,3673,3713,101,89,69
20200803,3806,3789,3758,3867,91,99,24
20200804,3982,3986,3979,3941,116,35,68
20200805,4147,4204,4103,4039,87,5,95
20200806,4433,4508,4702,4564,22,539,241
20200807,4621,4644,4560,4585,97,64,95
20200808,4862,4864,4782,4707,143,249,130
20200809,5123,5106,5067,4954,138,30,8
20200810,5382,5419,5240,5197,98,5,15
20200811,5624,5656,5582,5449,141,47,47
20200812,5900,5902,5815,5782,157,3,141
20200813,6381,6198,6130,6284,137,25,283
20200814,6680,6733,6399,6269,238,20,67
20200815,6995,6981,7582,6880,148,1260,351
20200816,7354,7519,7239,7607,68,42,824
20200817,7732,7712,7666,7584,160,121,386
20200818,8029,8216,8012,7738,340,348,56
20200819,8396,8426,8420,8238,198,146,332
20200820,8750,8826,8803,9004,220,58,505
20200821,9292,9135,9264,9239,214,234,153
20200822,9594,9706,9573,9626,171,140,99
20200823,10112,10118,10043,9761,155,252,354
20200824,10522,10621,10493,10393,365,20,159
20200825,10859,11182,11811,10967,201,1437,67
20200826,11426,11565,11435,11089,259,9,441
20200827,11930,12107,11814,11894,195,131,49
20200828,12434,12524,12235,12735,276,63,246
20200829,13024,13030,12938,12911,363,198,120
20200830,13556,13765,13479,13438,297,13,383
20200831,14127,14254,14009,14173,160,74,73
20200901,14411,14814,14632,14256,322,102,480
20200902,14766,15154,15407,15274,368,47,308
20200903,15157,15618,15916,15584,116,130,520
20200904,15581,15845,16207,16481,369,126,363
20200905,16164,16393,16534,17726,644,205,413
20200906,16566,16940,17059,18623,450,196,657
20200907,17032,17423,17755,19358,582,227,596
