date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,223,184,170,0,13,12,0
20200426,243,245,189,167,3,9,4
20200427,274,265,206,178,17,15,7
20200428,345,331,290,209,46,5,4
20200429,366,398,308,228,29,22,10
20200430,392,439,360,260,48,29,8
20200501,426,450,452,279,40,33,8
20200502,471,465,465,383,8,29,9
20200503,482,560,498,400,66,35,15
20200504,503,506,559,467,8,76,30
20200505,528,560,580,566,27,35,22
20200506,536,577,590,590,29,49,21
20200507,542,607,599,624,57,30,24
20200508,550,627,655,673,67,59,35
20200509,571,632,678,734,59,82,39
20200510,591,662,650,692,111,20,18
20200511,696,637,664,735,4,50,30
20200512,747,656,678,778,64,21,35
20200513,831,832,694,783,62,17,41
20200514,940,926,704,789,70,48,38
20200515,994,938,869,786,77,17,31
20200516,1018,1102,946,822,84,61,35
20200517,1179,1119,1002,836,47,60,25
20200518,1262,1298,1229,853,59,121,30
20200519,1391,1448,1204,1086,144,60,37
20200520,1498,1575,1425,1155,117,112,95
20200521,1674,1691,1529,1214,153,111,54
20200522,1982,1774,1649,1453,24,83,78
20200523,2177,2134,1839,1487,8,132,25
20200524,2380,2345,1926,1706,42,27,61
20200525,2587,2575,2330,1818,44,84,59
20200526,2730,2831,2665,1969,79,254,45
20200527,2983,2936,2764,2193,25,70,120
20200528,3061,3314,3054,2397,153,165,153
20200529,3296,3271,3151,2825,10,102,161
20200530,3376,3564,3404,3253,65,96,343
20200531,3636,3741,3537,3287,187,128,44
20200601,3815,4159,3909,3636,380,258,135
20200602,3926,4081,3849,3864,29,73,261
20200603,4155,4221,4383,4464,46,313,442
20200604,4390,4464,4394,4485,9,51,412
20200605,4493,4937,4646,4514,317,283,33
20200606,4596,4925,4751,4677,52,61,143
20200607,4915,4966,5019,5261,87,146,606
20200608,5088,5349,5277,5476,20,157,286
20200609,5202,5491,5297,5904,86,119,766
20200610,5459,5755,6008,6137,291,541,619
20200611,5710,5819,6016,6132,121,200,37
20200612,5983,6190,6118,6532,61,590,454
20200613,6103,6520,7019,6780,160,1077,822
20200614,6290,6513,6938,7490,5,449,778
20200615,6470,6757,7556,7776,4,1119,850
20200616,6650,6869,7246,7745,56,334,742
20200617,6778,7220,7722,8454,113,596,1186
20200618,6942,7225,7470,8830,13,68,1188
20200619,7025,7650,8076,8404,232,854,80
20200620,7181,7604,7799,9561,172,58,1355
20200621,7533,7679,8043,9618,29,326,1228
20200622,7612,7924,8112,9117,318,51,90
20200623,7825,8169,8472,9394,48,288,141
20200624,8153,8194,8605,10456,48,100,1220
20200625,8209,8802,8834,10937,87,27,1213
20200626,8473,8649,9710,10681,178,1014,991
20200627,8716,8978,9822,11172,172,857,1348
20200628,8931,9472,9618,11376,152,354,1059
20200629,9212,9391,9643,10693,198,365,194
20200630,9640,9740,10268,11246,226,148,188
20200701,10043,10572,10478,12269,256,138,1024
20200702,10249,10787,11460,12766,152,1253,1451
20200703,10471,11109,11050,11793,175,164,302
