date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,48,57,63,0,5,5,0
20200426,48,53,62,82,1,3,2
20200427,50,54,64,85,3,5,4
20200428,51,61,63,86,9,1,2
20200429,54,60,63,84,5,3,4
20200430,55,66,66,84,7,6,3
20200501,57,64,68,86,6,5,2
20200502,58,63,69,83,2,5,2
20200503,59,70,71,81,9,5,4
20200504,60,63,76,86,2,11,6
20200505,60,67,72,84,4,5,4
20200506,61,66,73,88,4,7,4
20200507,61,70,72,88,7,4,4
20200508,61,71,75,91,8,7,5
20200509,63,72,78,91,7,10,5
20200510,67,74,74,86,13,3,3
20200511,68,73,75,88,1,6,4
20200512,68,75,76,89,8,3,4
20200513,69,76,79,90,6,2,5
20200514,72,80,80,90,6,6,5
20200515,78,79,80,89,7,2,4
20200516,82,87,81,91,7,3,4
20200517,88,91,84,95,4,5,3
20200518,92,98,97,98,5,10,4
20200519,93,106,98,100,11,5,4
20200520,111,106,107,99,8,9,4
20200521,122,126,112,102,12,9,5
20200522,146,130,111,115,2,6,7
20200523,153,158,137,121,1,10,2
20200524,244,165,141,128,3,3,5
20200525,317,264,172,133,5,6,5
20200526,349,348,188,132,10,18,4
20200527,401,376,284,163,4,8,9
20200528,469,446,375,175,21,21,12
20200529,500,502,403,209,1,13,13
20200530,716,541,458,229,10,13,25
20200531,749,794,542,338,40,20,5
20200601,907,857,594,446,78,39,17
20200602,958,971,817,495,7,16,34
20200603,1043,1030,904,601,12,65,60
20200604,1085,1122,1045,688,3,12,63
20200605,1153,1221,1134,686,79,70,5
20200606,1215,1265,1193,993,14,16,31
20200607,1303,1313,1241,1084,23,37,125
20200608,1355,1419,1355,1302,5,41,68
20200609,1411,1463,1401,1441,24,32,187
20200610,1537,1533,1593,1541,78,143,156
20200611,1562,1639,1603,1516,34,54,10
20200612,1643,1694,1630,1677,17,157,117
20200613,1724,1791,1977,1793,44,304,218
20200614,1785,1840,1899,1986,2,123,207
20200615,1819,1918,2076,2071,1,308,227
20200616,1845,1932,2048,2063,17,95,198
20200617,1942,2003,2192,2381,32,169,335
20200618,2023,2071,2101,2416,4,20,325
20200619,2102,2230,2241,2309,68,237,22
20200620,2177,2276,2235,2701,52,17,384
20200621,2301,2328,2344,2730,9,95,348
20200622,2344,2412,2428,2564,110,15,25
20200623,2402,2516,2569,2607,15,87,39
20200624,2535,2516,2619,2996,15,17,350
20200625,2623,2737,2721,3187,27,8,354
20200626,2691,2764,2981,3197,57,312,297
20200627,2725,2869,3054,3387,56,266,409
20200628,2791,2962,3074,3461,48,113,305
20200629,2823,2935,3082,3293,63,117,60
20200630,2831,2985,3211,3453,70,46,58
20200701,2881,3105,3275,3815,75,43,319
20200702,2947,3095,3512,4080,44,384,464
20200703,2984,3195,3245,3769,51,49,97
20200704,3048,3206,3640,3960,20,470,145
20200705,3093,3262,3468,4119,16,58,283
20200706,3124,3312,3496,4194,5,170,319
20200707,3161,3296,3583,4203,84,81,288
20200708,3230,3335,3561,4272,95,16,287
20200709,3258,3478,3715,4489,42,169,416
20200710,3305,3424,3612,4455,80,34,366
20200711,3373,3487,3705,4520,103,83,358
20200712,3417,3621,4019,4395,185,367,85
20200713,3537,3670,3833,4326,210,38,56
20200714,3608,3721,3915,4470,92,56,121
20200715,3686,3791,3986,4427,102,83,119
20200716,3785,3913,4387,4442,107,441,109
20200717,3982,3980,4172,4596,79,1,20
20200718,4102,4223,4479,4799,129,343,90
20200719,4276,4389,4344,4722,40,21,152
20200720,4515,4533,4601,5026,122,47,133
20200721,4642,4735,4729,4916,120,109,122
20200722,4849,4896,5289,5109,111,603,32
20200723,5300,5144,5281,5354,73,198,68
20200724,5445,5589,5336,5423,145,17,153
20200725,5445,5732,5521,5574,171,99,208
20200726,5961,5782,6103,5831,115,84,164
20200727,6104,6292,6244,6201,147,7,69
20200728,6328,6494,6181,6513,129,63,132
20200729,6587,6655,6886,6687,116,174,61
20200730,6866,6974,6999,7354,121,24,31
20200731,7065,7236,7239,7743,128,1,206
20200801,7183,7605,7545,7566,123,145,56
20200802,7447,7536,7937,8337,208,191,155
20200803,7593,7825,8049,8471,187,213,52
20200804,7800,7953,8231,8683,232,73,150
20200805,8008,8234,8474,8835,169,9,208
20200806,8254,8703,9379,9863,43,1074,520
20200807,8552,8646,8931,9821,180,125,201
20200808,8901,9000,9233,9737,264,481,267
20200809,9402,9347,9434,10229,252,55,16
20200810,9632,9945,9697,10367,180,8,29
20200811,10021,10123,10219,10673,250,85,91
20200812,10432,10516,10672,11164,280,6,273
20200813,10886,10959,10970,11699,242,45,526
20200814,11302,11486,11402,11602,406,37,123
20200815,11615,11810,13405,12596,251,2227,643
20200816,11940,12485,12349,13960,112,72,1512
20200817,12175,12521,12971,13572,259,203,690
20200818,12493,12937,13303,13788,534,577,99
20200819,12961,13111,13671,14565,308,236,587
20200820,13225,13625,13860,15360,339,91,860
20200821,13636,13807,14414,15631,324,364,258
20200822,14083,14243,14777,15984,251,217,165
20200823,14566,14852,15178,15848,227,380,574
20200824,15124,15299,15398,16365,525,29,249
20200825,15529,16073,17337,17064,290,2109,104
20200826,16014,16538,16472,17118,370,13,681
20200827,16549,16968,16980,17977,273,189,73
20200828,17277,17372,17497,18688,382,90,361
20200829,17865,18105,18133,18952,504,278,175
20200830,18571,18881,18697,19356,406,18,552
20200831,19235,19527,19465,20372,220,104,104
20200901,19827,20171,20070,20387,438,139,686
20200902,20398,20849,21107,21406,505,65,430
20200903,21234,21575,21670,21617,162,177,721
20200904,22180,22197,22298,22900,516,174,505
20200905,23011,23336,22840,24314,917,283,567
20200906,23961,24116,23898,25511,640,273,900
20200907,24629,25200,25274,26357,842,323,811
20200908,25436,26104,27559,28133,152,2299,2531
20200909,26094,26835,27960,27567,358,1676,281
20200910,27211,27559,27510,28013,1114,502,672
20200911,28266,28341,28856,29037,764,797,213
20200912,29221,29660,29167,30045,1016,70,1217
20200913,30336,30554,30852,31606,1000,594,783
20200914,31973,31722,31658,34174,1041,119,2163
20200915,33016,33644,32884,32544,792,272,1944
20200916,34407,34557,33927,33896,925,249,1186
20200917,35947,36199,35923,34892,604,413,1819
20200918,37139,38017,36892,36601,177,191,1453
20200919,38007,38955,38323,41254,1314,141,3580
20200920,40085,39921,39682,41671,1361,551,2648
20200921,40963,42403,42271,41500,516,959,1089
20200922,41777,44083,42494,43086,735,32,782
20200923,42651,44006,44313,43687,1451,520,2790
20200924,43720,44725,45131,48703,1069,164,1575
20200925,44404,45975,46748,48585,763,462,567
20200926,45332,46498,47802,50914,1587,406,1691
20200927,46281,47803,48780,56368,1221,465,4753
20200928,47045,48875,49330,52836,1100,223,1509
20200929,47502,49443,50813,54086,928,686,991
20200930,47995,49866,52184,55869,1790,1246,60
20201001,49000,50235,52553,60025,993,525,3847
20201002,49248,51221,53000,58242,1362,261,983
20201003,49559,51440,53359,57611,1389,469,2951
20201004,50062,51705,54407,59357,1417,82,1995
20201005,51481,52878,60945,59635,782,8445,3010
20201006,51991,54651,55505,65186,953,836,3930
20201007,52329,54663,56375,61867,1006,1892,1789
20201008,52959,55276,58447,63415,783,2884,470
20201009,53359,55291,57609,65553,1597,780,1929
20201010,54063,56015,57611,65058,1777,380,527
20201011,54525,57165,58529,62581,318,212,3853
20201012,55051,57148,59073,63595,1462,126,4397
20201013,55347,59509,59500,63820,304,587,4435
20201014,55641,58389,62193,66549,674,3221,1778
20201015,56070,58376,61049,65668,2237,1516,3787
20201016,56493,59086,60753,68221,1373,262,1003
20201017,57042,59531,61239,67621,1030,34,2659
20201018,57648,59777,63306,68134,1794,2601,3435
20201019,58024,59880,61916,69911,1483,797,1288
20201020,58360,60869,63699,75038,1498,813,5859
20201021,58601,61038,65401,69016,1459,2468,4590
20201022,59106,61559,63784,76142,1448,124,6133
20201023,59508,61712,65766,72635,885,3011,623
20201024,59796,62447,65877,69798,2000,2483,4126
20201025,60155,62484,65048,73055,1505,1215,1533
20201026,60376,62286,65929,72024,1355,1056,3730
20201027,60744,64527,65276,71057,1256,209,4473
20201028,60957,62400,66545,80008,583,747,6454
20201029,61261,62815,66618,71594,727,2427,5744
20201030,61566,63796,66469,72824,1377,235,3782
20201031,61915,63340,66377,74081,474,563,2490
20201101,62328,63168,66488,75072,49,591,1379
20201102,62550,63860,67007,77624,196,542,1000
20201103,62881,63807,67855,77171,104,41,382
20201104,63197,65862,68041,76969,1387,358,113
20201105,63585,66307,68196,77109,905,162,208
20201106,64065,67093,70242,77552,1653,3992,139
20201107,64538,67304,68719,77742,1530,608,142
20201108,65036,67506,69472,78390,971,607,821
20201109,65279,67914,69976,78348,1638,832,635
20201110,65677,68179,70858,77023,1600,1690,2984
20201111,66005,68248,71428,76810,1419,924,3126
20201112,66788,69984,70873,76964,3800,630,3412
20201113,67239,68492,72384,79614,316,2074,2342
20201114,67706,69730,72195,78358,1208,674,3480
20201115,68002,70441,72362,82730,1506,189,6598
20201116,68215,69837,72471,79899,1051,441,2738
20201117,68458,70350,73217,80029,522,519,3554
20201118,68887,71000,73508,80689,566,46,650
20201119,69307,71899,73781,83071,802,177,209
20201120,69693,72801,73506,82611,1266,63,1090
20201121,70205,71447,73714,82686,675,215,1509
20201122,70790,72077,75143,80309,15,230,3519
20201123,71256,72880,75388,84354,465,93,459
20201124,71632,76079,75785,84635,858,416,71
20201125,72160,73932,76017,85105,868,417,657
20201126,72642,73795,76263,85466,752,598,334
20201127,72997,75765,77110,85474,1210,350,844
20201128,73527,75020,77979,86187,590,599,148
20201129,73951,79028,78117,87093,2778,88,307
20201130,74340,75744,78296,86778,323,119,368
20201201,74795,75635,79939,87905,68,1490,160
20201202,75268,76142,79409,88544,445,476,292
20201203,75784,77188,79794,88819,259,49,88
20201204,76275,77549,80712,89138,399,119,229
20201205,76893,80404,80954,89480,1841,412,370
20201206,77573,81405,82419,89846,1311,1007,301
20201207,77997,79171,81875,90856,201,241,305
20201208,78509,79261,82433,90444,138,145,22
20201209,79141,80438,83162,90962,11,120,452
20201210,79656,80539,83660,95302,204,25,4866
20201211,80486,81556,84262,91820,448,267,230
20201212,81211,81914,84721,92753,131,53,196
20201213,81939,84416,85221,94078,832,192,115
20201214,82429,83632,86016,94395,568,15,12
20201215,83006,85693,86975,95643,1342,313,2
20201216,83502,84678,87573,95802,262,297,501
20201217,84069,85119,88329,95709,292,441,1129
20201218,84689,87938,88833,97125,194,95,418
20201219,85269,87466,89304,97512,2091,689,237
20201220,85853,88903,89974,98698,3320,39,291
20201221,86317,87334,90249,99425,157,82,399
20201222,86765,88280,91105,99847,660,220,704
20201223,87376,88302,91597,100135,322,527,399
20201224,87940,90180,92406,101142,2137,147,167
20201225,88376,91659,92663,101764,1948,206,597
20201226,88844,89878,93404,102104,320,730,198
20201227,89218,91129,93908,102577,128,60,167
20201228,89645,91862,94441,102783,1652,269,215
20201229,89850,93024,95109,103582,2535,674,517
20201230,90167,91640,95173,104547,723,283,242
20201231,90616,94264,95235,105119,3096,224,498
20210101,90920,92459,95698,105252,251,109,75
20210102,91281,92931,96008,106359,406,629,1721
20210103,91544,92946,96579,105871,343,226,797
20210104,91811,94095,96702,105927,205,664,990
20210105,92112,93409,97381,106483,239,1118,523
20210106,92366,95477,97184,107074,2971,520,795
20210107,92593,94480,97857,106751,1264,196,174
20210108,92842,95061,98229,115555,398,221,9802
20210109,93111,94656,97970,108337,510,27,161
20210110,93398,96917,102007,108513,1711,5063,298
20210111,93621,95919,99345,108776,1097,1107,327
20210112,93777,95170,99105,108653,363,319,42
20210113,93961,95272,98952,109203,271,256,276
20210114,94170,95742,102843,109657,212,4730,165
20210115,94324,96289,99585,109359,70,156,655
20210116,94465,96099,100461,109527,193,415,947
20210117,94691,96074,99730,110140,568,703,275
20210118,94803,96580,99987,110150,637,12,246
20210119,94923,96396,99964,110143,358,99,718
20210120,95039,96551,100482,109354,293,283,437
20210121,95192,96937,100410,110829,107,138,133
20210122,95354,96786,100294,110719,645,413,313
20210123,95464,99130,100709,110987,619,204,287
20210124,95586,97350,101123,110639,1111,132,100
20210125,95640,99387,100326,111215,2077,78,87
