date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,0,0,0,0
20200426,0,0,0,0
20200427,0,0,0,0
20200428,0,0,0,0
20200429,0,0,0,0
20200430,0,0,0,0
20200501,0,0,0,0
20200502,0,0,0,0
20200503,0,0,0,0
20200504,0,0,0,0
20200505,0,0,0,0
20200506,1,0,0,0
20200507,1,1,0,0
20200508,1,2,0,0
20200509,1,2,1,0
20200510,1,2,2,0
20200511,1,2,2,0
20200512,1,2,2,0
20200513,1,2,2,1
20200514,1,2,2,2
20200515,1,2,2,2
20200516,1,2,2,2
20200517,1,2,2,2
20200518,1,2,2,2
20200519,1,2,2,2
20200520,1,2,2,2
20200521,1,2,2,2
20200522,1,2,2,2
20200523,1,2,2,2
20200524,2,2,2,2
20200525,2,3,2,2
20200526,2,3,2,2
20200527,2,3,3,2
20200528,2,3,3,2
20200529,2,3,3,2
20200530,2,3,3,2
20200531,2,3,3,3
20200601,2,3,3,3
20200602,3,3,3,3
20200603,4,4,3,4
20200604,8,5,3,4
20200605,12,10,4,3
20200606,14,14,5,3
20200607,19,16,10,4
20200608,20,21,15,3
20200609,22,22,17,5
20200610,22,23,24,7
20200611,28,24,25,12
20200612,30,32,25,18
20200613,30,34,29,21
20200614,35,33,36,30
20200615,36,38,38,31
20200616,36,39,36,31
20200617,45,40,44,35
20200618,57,49,42,45
