date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,36,44,49,0,3,4,0
20200426,37,40,48,71,1,2,2
20200427,37,41,49,70,2,4,3
20200428,37,46,48,67,7,1,2
20200429,38,44,48,66,4,3,3
20200430,38,46,49,66,5,4,2
20200501,40,44,49,66,4,4,2
20200502,43,45,49,63,1,3,2
20200503,43,52,49,62,7,4,3
20200504,57,46,53,64,1,8,4
20200505,58,64,54,62,3,4,3
20200506,59,64,53,62,4,5,3
20200507,59,68,69,61,7,4,3
20200508,59,69,73,64,8,7,4
20200509,59,69,75,68,7,10,4
20200510,59,69,72,62,12,3,2
20200511,59,64,73,84,0,6,4
20200512,59,66,71,86,7,3,4
20200513,59,67,70,87,6,3,5
20200514,59,68,71,87,5,5,5
20200515,60,67,70,86,6,2,4
20200516,66,68,70,86,5,2,4
20200517,67,73,72,84,4,5,3
20200518,86,75,75,86,4,8,4
20200519,93,99,79,86,10,4,3
20200520,101,106,82,85,8,7,3
20200521,115,115,105,87,11,8,4
20200522,128,122,111,89,2,6,5
20200523,172,139,125,97,1,9,2
20200524,214,186,133,98,4,3,4
20200525,252,232,151,125,5,6,4
20200526,291,277,211,132,8,20,4
20200527,361,313,249,149,3,6,9
20200528,369,402,298,166,20,16,11
20200529,399,395,337,183,1,11,10
20200530,415,432,413,258,8,13,28
20200531,447,461,427,296,24,16,5
20200601,498,512,474,355,47,32,14
20200602,547,534,474,413,4,10,28
20200603,564,589,539,541,7,39,54
20200604,668,607,574,541,1,8,50
20200605,756,752,648,547,49,40,5
20200606,879,829,646,576,9,8,18
20200607,923,950,765,648,17,22,75
20200608,1073,1005,889,716,4,27,38
20200609,1160,1159,1014,823,18,24,107
20200610,1240,1214,1129,834,61,102,85
20200611,1262,1323,1269,933,28,43,6
20200612,1398,1369,1291,1100,14,124,76
20200613,1429,1524,1595,1297,38,245,157
20200614,1512,1525,1534,1407,2,99,146
20200615,1662,1625,1766,1641,1,262,179
20200616,1756,1765,1697,1634,15,78,157
20200617,1781,1907,1857,1921,30,144,270
20200618,1864,1899,1920,1952,4,18,263
20200619,1946,2054,2133,1964,63,226,19
20200620,2028,2107,2050,2239,48,15,317
20200621,2041,2169,2160,2313,9,88,295
20200622,2275,2192,2247,2343,24,15,24
20200623,2303,2442,2393,2481,15,82,37
20200624,2362,2412,2382,2748,15,97,321
20200625,2419,2550,2641,2937,26,8,326
20200626,2452,2549,2858,2959,53,299,275
20200627,2545,2646,2846,3155,51,249,381
20200628,2545,2766,2835,3152,44,104,385
20200629,2662,2676,2842,3196,57,108,58
20200630,2761,2815,2999,3310,66,44,56
20200701,2860,3028,2987,3555,74,39,297
20200702,2940,3073,3312,3763,44,363,428
20200703,3013,3187,3165,3476,51,47,89
20200704,3065,3237,3614,3698,20,466,136
20200705,3161,3280,3460,3756,16,58,259
20200706,3207,3385,3531,3955,5,172,301
20200707,3305,3384,3604,4099,86,82,281
20200708,3415,3487,3640,4241,99,17,285
20200709,3525,3677,3814,4478,43,174,415
20200710,3675,3705,3776,4498,86,36,369
20200711,3767,3877,3917,4545,115,87,360
20200712,3897,4044,4349,4491,207,397,87
20200713,4059,4186,4262,4441,239,42,58
20200714,4217,4270,4372,4674,107,63,126
20200715,4379,4431,4546,4681,119,95,126
20200716,4539,4648,5035,4806,126,506,118
20200717,4732,4773,4876,5111,95,1,22
20200718,4964,5018,5321,5360,153,407,99
20200719,5233,5311,5209,5386,49,25,172
20200720,5407,5548,5468,5767,150,56,153
20200721,5561,5670,5723,5746,144,132,143
20200722,5729,5865,6473,6070,133,738,37
20200723,5968,6078,6324,6421,86,238,82
20200724,6254,6294,6392,6444,164,20,181
20200725,6731,6584,6523,6745,196,117,252
20200726,7087,7147,6873,7136,141,95,201
20200727,7450,7480,7172,7426,175,8,83
20200728,7745,7926,7641,7802,157,77,157
20200729,8257,8145,8187,7901,142,206,72
20200730,8539,8742,8542,8281,151,29,34
20200731,8761,8999,8859,8894,160,2,236
20200801,9086,9431,9457,9352,153,183,68
20200802,9385,9532,9871,9913,262,238,184
20200803,9531,9862,9981,10339,236,264,63
20200804,9779,9982,10411,10627,290,92,183
20200805,10202,10323,10679,11076,211,12,261
20200806,10407,11088,11773,12265,54,1348,647
20200807,10932,10902,11197,12178,227,157,249
20200808,11408,11504,11763,12316,337,612,338
20200809,11743,11980,11895,12891,323,69,20
20200810,12148,12421,12395,13012,224,10,37
20200811,12448,12767,13097,13381,317,109,114
20200812,12929,13063,13329,14222,348,8,348
20200813,13498,13582,13835,14750,300,57,663
20200814,13937,14242,14163,14830,503,45,157
20200815,14481,14564,16613,16143,308,2761,824
20200816,14987,15565,15312,17436,139,89,1888
20200817,15471,15717,15995,17117,325,252,870
20200818,16025,16439,16585,17127,678,720,124
20200819,16833,16817,17159,18051,395,296,727
20200820,17485,17694,17612,19045,440,115,1067
20200821,18501,18254,18490,19276,428,466,318
20200822,19510,19325,19192,19927,339,281,206
20200823,20078,20575,20067,19892,315,501,721
20200824,20918,21088,20892,20795,725,38,316
20200825,22054,22229,24018,21889,401,2922,133
20200826,23341,23486,22705,22231,525,17,884
20200827,24550,24730,23485,23767,398,261,97
20200828,25988,25771,24848,25355,567,128,490
20200829,27233,27234,26429,26254,758,404,242
20200830,28746,28781,27736,26681,619,26,761
