date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,2,3,4,0,0,1,0
20200426,2,3,3,4,0,0,0
20200427,2,3,3,5,0,0,1
20200428,2,4,3,4,1,0,0
20200429,2,3,3,4,0,0,0
20200430,2,3,4,4,0,1,0
20200501,2,3,4,4,0,1,0
20200502,2,3,3,4,0,0,0
20200503,2,3,3,4,0,0,0
20200504,2,3,4,5,0,1,1
20200505,2,3,3,4,0,0,0
20200506,2,3,3,4,0,0,1
20200507,2,3,3,4,0,0,1
20200508,2,3,3,4,0,0,1
20200509,2,3,4,4,0,1,1
20200510,2,4,3,3,1,0,0
20200511,2,3,3,4,0,0,1
20200512,2,3,3,4,0,0,1
20200513,2,3,3,4,0,0,1
20200514,2,3,3,4,0,0,1
20200515,3,3,3,4,0,0,1
20200516,3,4,3,4,0,0,1
20200517,7,4,3,3,0,0,0
20200518,7,9,5,4,1,1,1
20200519,7,9,4,4,1,0,1
20200520,9,9,10,3,1,1,0
20200521,25,11,9,4,2,1,1
20200522,25,27,9,5,0,1,0
20200523,26,27,12,5,0,1,0
20200524,29,29,30,11,1,1,1
20200525,32,32,30,11,1,2,1
20200526,39,36,32,11,1,3,1
20200527,39,43,35,14,1,1,1
20200528,44,44,39,37,3,3,3
20200529,55,48,46,37,1,3,3
20200530,59,60,45,39,2,2,5
20200531,62,66,52,41,3,3,1
20200601,71,72,66,46,7,5,3
20200602,83,77,68,56,1,2,4
20200603,89,90,75,59,1,6,6
20200604,118,96,83,65,0,1,6
20200605,124,133,99,76,9,7,1
20200606,132,136,102,82,2,2,3
20200607,157,143,136,91,3,4,11
20200608,172,172,146,103,1,5,5
20200609,272,186,153,126,3,4,17
20200610,304,195,193,132,10,18,13
20200611,311,325,204,166,7,8,1
20200612,366,338,207,181,4,20,13
20200613,385,399,392,196,10,61,24
20200614,449,412,379,240,1,25,25
20200615,458,483,463,264,0,69,29
20200616,490,487,458,263,5,21,25
20200617,500,533,552,472,8,43,66
20200618,552,534,530,482,1,5,65
20200619,606,609,596,515,19,63,5
20200620,681,657,576,604,15,5,86
20200621,777,729,640,687,3,26,88
20200622,841,786,700,646,78,5,7
20200623,898,903,804,693,6,27,11
20200624,921,941,852,772,6,42,90
20200625,970,995,976,870,10,3,97
20200626,1056,1023,1115,922,21,117,86
20200627,1075,1062,1110,1060,21,97,128
20200628,1092,1169,1137,1124,20,42,38
20200629,1185,1149,1140,1182,25,44,22
20200630,1227,1254,1267,1291,29,19,22
20200701,1234,1346,1282,1387,33,17,116
20200702,1260,1326,1475,1509,19,161,172
20200703,1279,1366,1407,1394,22,21,36
20200704,1316,1374,1560,1563,9,202,58
20200705,1325,1409,1484,1612,7,25,112
20200706,1366,1420,1499,1761,3,73,134
20200707,1390,1442,1548,1822,37,35,125
20200708,1430,1467,1526,1830,42,7,124
20200709,1435,1540,1625,1920,19,75,178
20200710,1450,1509,1589,1910,35,15,157
20200711,1582,1530,1641,1952,46,37,155
20200712,1593,1699,1771,1883,87,162,37
20200713,1609,1711,1682,1892,98,17,25
20200714,1626,1693,1837,1966,43,27,53
20200715,1672,1709,1859,1960,46,39,53
20200716,1700,1775,1996,1957,49,201,49
20200717,1764,1788,1880,2017,36,0,10
20200718,1800,1871,2032,2252,57,156,42
20200719,1891,1927,1951,2202,18,10,71
20200720,1911,2005,2039,2287,54,21,61
20200721,1925,2004,2076,2216,51,48,55
20200722,2015,2031,2340,2318,46,267,15
20200723,2060,2138,2236,2405,31,85,31
20200724,2115,2173,2213,2403,56,8,68
20200725,2146,2227,2294,2447,66,42,92
20200726,2176,2279,2372,2579,45,33,73
20200727,2235,2297,2426,2625,54,3,29
20200728,2286,2379,2437,2702,48,25,55
20200729,2317,2405,2514,2779,42,64,26
20200730,2458,2453,2563,2859,43,9,13
20200731,2505,2591,2616,3008,46,1,80
20200801,2621,2697,2654,2982,44,51,22
20200802,2756,2750,2842,3044,75,69,57
20200803,2831,2896,2854,3102,70,75,20
20200804,2920,2965,3004,3137,87,27,54
20200805,3018,3083,3137,3108,63,4,74
20200806,3093,3281,3497,3531,17,401,186
20200807,3217,3241,3344,3483,68,47,72
20200808,3466,3386,3480,3553,99,182,98
