ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842952,12314,1
6,Chandigarh,100694,99508,1185,1
7,Chhattisgarh,1187695,1173505,14190,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040968,2014285,26666,17
10,Goa,263357,259338,4014,5
11,Gujarat,1291394,1280310,11079,5
12,Haryana,1078904,1068145,10755,4
13,Himachal Pradesh,322929,318679,4242,8
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443830,438496,5334,0
16,Karnataka,4088835,4048462,40358,15
17,Kerala,6907301,6835238,72042,21
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8171587,8022855,148561,171
22,Manipur,140034,137885,2149,0
23,Meghalaya,96987,95357,1628,2
24,Mizoram,239561,238827,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348376,1339153,9215,8
27,Puducherry,177548,175566,1981,1
28,Punjab,792422,773079,19338,5
29,Rajasthan,1326466,1316729,9736,1
30,Sikkim,44927,44426,501,0
31,Tamil Nadu,3610679,3572593,38081,5
32,Telangana,844448,840331,4111,6
33,Tripura,108494,107552,942,0
34,Uttarakhand,452576,444808,7768,0
35,Uttar Pradesh,2145449,2121682,23712,55
36,West Bengal,2126388,2104725,21555,108
